,,,,,,,,CoreA,,,CoreB,,,CoreC,,,CoreD,,
SOCVendor,SOCModel,ProductName,ReleaseTime,GPUBrand,GPUModel,GPUCore,GPUFreq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq
Qualcomm,SM6125,Snapdragon 665,2019.2Q,Adreno,610,1,950,,,,,,,A73,4,2,A53,4,1.8
Qualcomm,SDM665,Snapdragon 665 (11nm),,Adreno,610,1,950,,,,,,,A73,4,2,A53,4,1.8
Qualcomm,SDM670,Snapdragon 670,2018.3Q,Adreno,615,1,430,,,,,,,A75,2,2,A55,6,1.7
Qualcomm,SM6150,Snapdragon 675,2019.1Q,Adreno,612,1,845,,,,,,,A76,2,2,A55,6,1.7
Qualcomm,SM6150-AC,Snapdragon 678,2020.4Q,Adreno,612,1,895,,,,,,,A76,2,2.2,A55,6,1.7
Qualcomm,SM6225,Snapdragon 680,2021.4Q,Adreno,610,1,1114,,,,,,,A73,4,2.4,A55,4,1.9
Qualcomm,SM6225-AD,Snapdragon 685,2023.1Q,Adreno,610,1,1260,,,,,,,A73,4,2.8,A55,4,1.9
Qualcomm,SM6350,Snapdragon 690,2020.2H,Adreno,619L,1,565,,,,,,,A77,2,2,A55,6,1.7
Qualcomm,SM6375,Snapdragon 695,2021.4Q,Adreno,619,1,840,,,,,,,A78,2,2.2,A55,6,1.8
Qualcomm,SM6450,Snapdragon 6 Gen 1,2023.1Q,Adreno,710,1,,,,,,,,Kryo Gold,4,2.2,Kryo Silver,4,1.8
Qualcomm,SDM710,Snapdragon 710,2018.2Q,Adreno,616,1,504,,,,,,,A75,2,2.2,A55,6,1.7
Qualcomm,SDM712,Snapdragon 712,2019.1Q,Adreno,616,1,610,,,,,,,A75,2,2.3,A55,6,1.7
Qualcomm,SM7125,Snapdragon 720G,2020.1Q,Adreno,618,1,750,,,,,,,A76,2,2.3,A55,6,1.8
Qualcomm,SDM720G,Snapdragon 720G (8nm),,Adreno,618,1,750,,,,,,,A76,2,2.3,A55,6,1.8
Qualcomm,SM7150-AA,Snapdragon 730,2019.2Q,Adreno,618,1,610,,,,,,,A76,2,2.2,A55,6,1.8
Qualcomm,SM7150-AB,Snapdragon 730G,2019.2Q,Adreno,618,1,700,,,,,,,A76,2,2.2,A55,6,1.8
Qualcomm,SM7150,Snapdragon 730G (8nm),,Adreno,618,1,700,,,,,,,A76,2,2.2,A55,6,1.8
Qualcomm,SM7150-AC,Snapdragon 732G,2020.3Q,Adreno,618,1,800,,,,,,,A76,2,2.3,A55,6,1.8
